route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
35,35,Manayunk Roxborough Loop,3,FFFFFF,000000,
36,36,13th-Market to 80th-Eastwick,0,5A960A,000000,
36B,36B,13th-Market to 80th-Eastwick,0,5A960A,000000,
37,37,ChesterTC to Broad-Snyder,3,FFFFFF,000000,
38,38,5th-Market to Wissahickon TC,3,FFFFFF,000000,
39,39,Richmond-Cumberland to 33rd-Dauphin,3,FFFFFF,000000,
4,4,Broad-Pattison to Fern Rock TC,3,FFFFFF,000000,
40,40,2nd-Lombard to Conshohocken-Monumnt,3,FFFFFF,000000,
406,406,West Phila to 67th-Elmwood,3,FFFFFF,000000,
409,409,59th-Balitmore to 84th-Crane,3,FFFFFF,000000,
411,411,SouthWest Phila to 46th-Ludlow,3,FFFFFF,000000,
415,415,46th-Ludlow to SouthWest Phila,3,FFFFFF,000000,
42,42,Penns Landing to Wycombe or61stPine,3,FFFFFF,000000,
